Aircraft,From,From
350 & 787,Edinburgh,1
773/773 (ex. CX),Frankfurt,1
777-300ER and A380,Melbourne,1
787,London Heathrow,1
787 & 350,Zanzibar,1
"787, A380",Birmingham,1
787/777,Edinburgh,1
=,Kigali,1
A 350,Doha,1
A 350,Los Angeles,1
A319 / A340 / A380,London Heathrow,1
A319 LR / Boeing 787-8,Yangon,1
A319LR,Doha,1
A320,Doha,7
A320,Sofia,3
A320,Al Maktoum International,1
A320,Athens,1
A320,Beirut,1
A320,Beirut Rafic Hariri International,1
A320,Brussels,1
A320,Entebbe,1
A320,Erbil,1
A320,Kiev,1
A320,Kochi,1
A320,Kuwait,1
A320,Munich,1
A320,Tunis,1
A320,Vienna,1
A320,Zanzibar,1
A320 / A321,Muscat,1
A320 / A330,Abu Dhabi,2
A320 / A330,Tbilisi,1
A320 / A330-300,Muscat,1
A320 / A333 / Boeing 777,Cochin,1
A320 / A380,Taif,1
A320 / B777-300er,Tehran,1
A320 / Boeing 777,Dubai,1
A320 / Boeing 777,Taif,1
A320 / Boeing 777,Warsaw Chopin Airport,1
A320 / Boeing 777-300,Abu Dhabi,1
A320 / Boeing 777-300,Athens,1
A320 / Boeing 777-300ER,Dubai,1
A320 / Boeing 777-300ER,Zagreb,1
A320 / Boeing 787,Abu Dhabi,1
A320 / Boeing 787,Athens,1
A320 / Boeing 787,Borg El Arab International,1
A320 / Boeing 787,Bucharest,1
A320 / Boeing 787,Taif,1
A320 200,Baku,1
A320 and A350-900,Salalah,1
A320 and Boeing 777,Athens,1
A320 and Boeing 777,Zagreb,1
"A320, A349",Warsaw Chopin Airport,1
A320-100/200,Zagreb,1
A320-200 / A350-900,Vienna,1
A320-232,Belgrade,1
A320/200 & A350,Athens,1
A320/321 and Boeing 777-300ER,Zagreb,1
A320/A350,Warsaw Chopin Airport,1
A321,Amritsar,1
A321,Doha,1
A321,Kuwait,1
A321 / A332,Dubai,1
A321 / A350-1000,Sofia,1
A321 / A380 / Boeing 777-200,Dubai,1
A321 / Boeing 777-300ER,Budapest Ferenc Liszt International,1
A321 and A320,Jomo Kenyatta International,1
A321/A380,Belgrade,1
A330,Doha,7
A330,Athens,2
A330,Ho Chi Minh City,2
A330,Algiers,1
A330,Bangkok,1
A330,Clark,1
A330,Colombo,1
A330,Kigali,1
A330,Krabi,1
A330,Kuala Lumpur,1
A330,Milan Malpensa Airport,1
A330,Moscow,1
A330,Muscat,1
A330,Nairobi,1
A330,Philadelphia,1
A330,Queen Alia International,1
A330,Singapore,1
A330,São Paulo,1
A330,Tan Son Nhat International,1
A330,Venice,1
A330,Venice Marco Polo,1
A330 + Boeing 787-800,Ho Chi Minh City,1
A330 / A 380,Berlin,1
A330 / A321 / Boeing 787,Manchester,1
A330 / A350,Berlin,1
